"filename", "language", "C", "C++", "Makefile", "comment", "blank", "total"
"c:\AED2\Hashing\LexicalAnalysis\5000.c", "C", 1, 0, 0, 0, 0, 1
"c:\AED2\Hashing\LexicalAnalysis\Makefile", "Makefile", 0, 0, 48, 29, 23, 100
"c:\AED2\Hashing\LexicalAnalysis\a.c", "C", 43, 0, 0, 0, 21, 64
"c:\AED2\Hashing\LexicalAnalysis\q-char-sequence.h", "C++", 0, 2, 0, 0, 1, 3
"c:\AED2\Hashing\LexicalAnalysis\src\CharacterConstants.h", "C++", 0, 4, 0, 0, 1, 5
"c:\AED2\Hashing\LexicalAnalysis\src\CharcterConstants.c", "C", 144, 0, 0, 56, 22, 222
"c:\AED2\Hashing\LexicalAnalysis\src\Decompose.c", "C", 59, 0, 0, 40, 20, 119
"c:\AED2\Hashing\LexicalAnalysis\src\Decompose.h", "C++", 0, 4, 0, 0, 1, 5
"c:\AED2\Hashing\LexicalAnalysis\src\File.c", "C", 69, 0, 0, 26, 18, 113
"c:\AED2\Hashing\LexicalAnalysis\src\File.h", "C++", 0, 3, 0, 0, 0, 3
"c:\AED2\Hashing\LexicalAnalysis\src\HandleCharacters.c", "C", 1117, 0, 0, 874, 281, 2272
"c:\AED2\Hashing\LexicalAnalysis\src\HandleCharacters.h", "C++", 0, 1, 0, 0, 0, 1
"c:\AED2\Hashing\LexicalAnalysis\src\Hash.c", "C", 21, 0, 0, 39, 8, 68
"c:\AED2\Hashing\LexicalAnalysis\src\Hash.h", "C++", 0, 3, 0, 0, 1, 4
"c:\AED2\Hashing\LexicalAnalysis\src\IdentifierCharacters.c", "C", 3, 0, 0, 4, 3, 10
"c:\AED2\Hashing\LexicalAnalysis\src\IdentifierCharacters.h", "C++", 0, 3, 0, 0, 1, 4
"c:\AED2\Hashing\LexicalAnalysis\src\Recompose\Characters.c", "C", 96, 0, 0, 32, 12, 140
"c:\AED2\Hashing\LexicalAnalysis\src\Recompose\Characters.h", "C++", 0, 5, 0, 0, 0, 5
"c:\AED2\Hashing\LexicalAnalysis\src\Recompose\Recompose.c", "C", 293, 0, 0, 97, 104, 494
"c:\AED2\Hashing\LexicalAnalysis\src\Recompose\Recompose.h", "C++", 0, 5, 0, 0, 2, 7
"c:\AED2\Hashing\LexicalAnalysis\src\SymbolTable.c", "C", 110, 0, 0, 33, 33, 176
"c:\AED2\Hashing\LexicalAnalysis\src\SymbolTable.h", "C++", 0, 21, 0, 0, 6, 27
"c:\AED2\Hashing\LexicalAnalysis\src\TokenList.c", "C", 86, 0, 0, 53, 26, 165
"c:\AED2\Hashing\LexicalAnalysis\src\TokenList.h", "C++", 0, 20, 0, 0, 4, 24
"c:\AED2\Hashing\LexicalAnalysis\src\Tokens.h", "C++", 0, 146, 0, 2, 1, 149
"c:\AED2\Hashing\LexicalAnalysis\src\main.c", "C", 78, 0, 0, 6, 14, 98
"c:\AED2\Hashing\LexicalAnalysis\test.c", "C", 43, 0, 0, 5, 16, 64
"Total", "-", 2163, 217, 48, 1296, 619, 4343